Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,skin_rash,dischromic_patches,,,,,,,,,,,,,,,
Fungal infection,skin_rash,dischromic_patches,itching,yellow_urine,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,skin_rash,dischromic_patches,fluid_overload,,,,,,,,,,,,,
Fungal infection,skin_rash,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,itching,,,,,,,,,,,,,,
Fungal infection,itching,nodal_skin_eruptions,skin_peeling,,,,,,,,,,,,,,
Fungal infection,itching,dischromic_patches,pain_in_anal_region,,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,itching,skin_rash,,,,,,,,,,,,,,
Fungal infection,itching,nodal_skin_eruptions,skin_peeling,,,,,,,,,,,,,,
Fungal infection,dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,painful_walking,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,,,,,,,,,,,,,,,
Fungal infection,dischromic_patches,itching,skin_rash,,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,skin_rash,spotting_urination,continuous_sneezing,,,,,,,,,,,,,
Fungal infection,skin_rash,dischromic_patches,nodal_skin_eruptions,blood_in_sputum,red_spots_over_body,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,itching,stomach_bleeding,blurred_and_distorted_vision,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,itching,skin_rash,passage_of_gases,,,,,,,,,,,,,
Fungal infection,dischromic_patches,skin_rash,itching,enlarged_thyroid,swelling_joints,,,,,,,,,,,,
