Disease,Diet_1,Diet_2,Diet_3,Diet_4
Fungal infection,Balanced nutrition supports recovery,Stay hydrated,,
Allergy,Balanced nutrition supports recovery,Stay hydrated,,
GERD,Balanced nutrition supports recovery,Stay hydrated,,
Chronic cholestasis,Balanced nutrition supports recovery,Stay hydrated,,
Drug Reaction,Balanced nutrition supports recovery,Stay hydrated,,
Peptic ulcer disease,Balanced nutrition supports recovery,Stay hydrated,,
AIDS,Balanced nutrition supports recovery,Stay hydrated,,
Diabetes,Low glycemic index foods,High fiber,Avoid sugary beverages,Small frequent meals
Gastroenteritis,Balanced nutrition supports recovery,Stay hydrated,,
Bronchial Asthma,Balanced nutrition supports recovery,Stay hydrated,,
Hypertension,DASH diet,Low sodium,"High potassium (bananas, leafy greens)",Avoid processed food
Migraine,"Avoid caffeine, alcohol, aged cheese",Stay hydrated,Regular meal times,
Cervical spondylosis,Balanced nutrition supports recovery,Stay hydrated,,
Paralysis (brain hemorrhage),Balanced nutrition supports recovery,Stay hydrated,,
Jaundice,Balanced nutrition supports recovery,Stay hydrated,,
Malaria,Light meals,High fluid intake,Avoid oily/spicy food,
Chicken pox,Balanced nutrition supports recovery,Stay hydrated,,
Dengue,Papaya leaf juice,Coconut water,High fluid intake,Light easily digestible food
Typhoid,Soft easily digestible foods,High calorie liquid diet,Avoid raw vegetables,
hepatitis A,Balanced nutrition supports recovery,Stay hydrated,,
Hepatitis B,Balanced nutrition supports recovery,Stay hydrated,,
Hepatitis C,Balanced nutrition supports recovery,Stay hydrated,,
Hepatitis D,Balanced nutrition supports recovery,Stay hydrated,,
Hepatitis E,Balanced nutrition supports recovery,Stay hydrated,,
Alcoholic hepatitis,Balanced nutrition supports recovery,Stay hydrated,,
Tuberculosis,"High calorie, high protein diet",Vitamin D and zinc rich foods,,
Common Cold,Warm soups,Ginger tea,Honey and lemon water,Stay hydrated
Pneumonia,High protein diet,Warm fluids,Vitamin C rich foods,
Dimorphic hemmorhoids(piles),Balanced nutrition supports recovery,Stay hydrated,,
Heart attack,"Heart-healthy diet: low fat, high fiber",Omega-3 rich foods,Avoid salt and processed food,
Varicose veins,Balanced nutrition supports recovery,Stay hydrated,,
Hypothyroidism,Balanced nutrition supports recovery,Stay hydrated,,
Hyperthyroidism,Balanced nutrition supports recovery,Stay hydrated,,
Hypoglycemia,Balanced nutrition supports recovery,Stay hydrated,,
Osteoarthritis,Balanced nutrition supports recovery,Stay hydrated,,
Arthritis,Balanced nutrition supports recovery,Stay hydrated,,
(vertigo) Paroymsal Positional Vertigo,Balanced nutrition supports recovery,Stay hydrated,,
Acne,Balanced nutrition supports recovery,Stay hydrated,,
Urinary tract infection,Balanced nutrition supports recovery,Stay hydrated,,
Psoriasis,Balanced nutrition supports recovery,Stay hydrated,,
Impetigo,Balanced nutrition supports recovery,Stay hydrated,,
