Disease,Description,Causes,Prevention,Recovery_Time,When_To_See_Doctor,Risk_Level
Fungal infection,Fungal infection is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
Allergy,Allergy is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
GERD,GERD is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
Chronic cholestasis,Chronic cholestasis is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Medium
Drug Reaction,Drug Reaction is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Medium
Peptic ulcer disease,Peptic ulcer disease is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Medium
AIDS,AIDS is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",High
Diabetes,A chronic metabolic disorder where blood sugar levels remain elevated.,"Insulin deficiency (Type 1) or insulin resistance (Type 2), genetics, obesity","Healthy diet, regular exercise, weight management, blood sugar monitoring",Lifelong management required,"If blood sugar is uncontrolled, or symptoms worsen significantly",Medium
Gastroenteritis,Gastroenteritis is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
Bronchial Asthma,Bronchial Asthma is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Medium
Hypertension,Persistently elevated blood pressure that damages arteries over time.,"Stress, unhealthy diet, obesity, genetics, sedentary lifestyle","Low sodium diet, regular exercise, stress management, avoid smoking/alcohol",Lifelong management - medication + lifestyle changes,If BP consistently above 140/90 or severe headache/vision problems,Medium
Migraine,"A neurological condition causing severe, recurring headaches.","Hormonal changes, stress, certain foods, sleep disruption, bright lights","Identify and avoid triggers, regular sleep schedule, stress management",4-72 hours per episode; chronic management needed,"If headache is sudden/severe, with fever or stiff neck",Low
Cervical spondylosis,Cervical spondylosis is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",High
Jaundice,Jaundice is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Medium
